Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
S;PR;Curitiba;F;entre 31 a 40 anos;2025-01-26;10;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;3
SE;MG;Pouso Alegre;F;entre 21 a 30 anos;2025-01-14;7;Electrolux - Eletrodomésticos/Eletroportáteis;Fabricantes - Linha Branca;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Ribeirão Preto;F;entre 41 a 50 anos;2025-01-23;3;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Dados Pessoais e Privacidade;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Salvador;M;entre 21 a 30 anos;2025-01-27;8;Gol Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Atraso de voo;Internet;S;S;Finalizada avaliada;Resolvida;1
NE;BA;Ilhéus;M;entre 21 a 30 anos;2025-01-04;8;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada avaliada;Não Resolvida;3
SE;MG;Jordânia;M;entre 21 a 30 anos;2025-01-18;7;Booking.com;Viagens, Turismo e Hospedagem;Turismo/Viagens;Hospedagem;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Rio Grande da Serra;M;entre 31 a 40 anos;2025-01-06;7;Banco Safra;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada avaliada;Não Resolvida;3
NE;BA;Salvador;M;entre 51 a 60 anos;2025-01-08;8;Embasa;Agua e Saneamento;Água, Energia, Gás;Água e Esgoto;Cobrança / Contestação;Renegociação / parcelamento de dívida;Não comprei / contratei;N;S;Finalizada avaliada;Não Resolvida;1
CO;DF;Brasília;F;entre 31 a 40 anos;2025-01-13;2;Nubank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Ligações indesejadas de telemarketing (0303);Telefone;S;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Cotegipe;M;entre 41 a 50 anos;2025-01-22;9;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada avaliada;Resolvida;4
S;SC;Joinville;M;entre 41 a 50 anos;2025-01-06;9;Mercado Livre;Empresas de Intermediação de Serviços / Negócios;Produtos Eletrodomésticos e Eletrônicos;Acessório para eletroeletrônicos (pilhas, baterias etc);Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;F;entre 31 a 40 anos;2025-01-10;3;Bradesco Cartões;Bancos, Financeiras e Administradoras de Cartão;Demais Serviços;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Resolvida;5
NE;PI;Teresina;M;entre 31 a 40 anos;2025-01-17;0;Ventisol;Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Vício de Qualidade;Falta de peça de reposição;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;SP;Presidente Prudente;M;entre 31 a 40 anos;2025-01-23;9;Mercado Livre;Empresas de Intermediação de Serviços / Negócios;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Não Resolvida;1
S;PR;Curitiba;M;entre 41 a 50 anos;2025-01-08;3;Carrefour.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;3
S;PR;São José dos Pinhais;F;entre 31 a 40 anos;2025-01-05;9;PicPay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;5
S;PR;Curitiba;F;entre 41 a 50 anos;2025-01-31;2;Clinipam;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (exceto SAC);Domicílio;S;S;Finalizada avaliada;Não Resolvida;1
NE;MA;São Luís;M;entre 31 a 40 anos;2025-01-13;2;Netshoes;Comércio Eletrônico;Demais Produtos;Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Resolvida;1
