Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;MG;Cruzília;F;entre 61 a 70 anos;2025-01-17;7;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;M;entre 41 a 50 anos;2025-01-04;10;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Loja física;S;S;Finalizada avaliada;Resolvida;5
SE;MG;Belo Horizonte;F;entre 21 a 30 anos;2025-01-10;6;C6 Bank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Telefone;S;S;Finalizada avaliada;Resolvida;5
SE;ES;Vitória;F;entre 31 a 40 anos;2025-01-02;3;Cartões Renner (Realize CFI);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Loja física;N;S;Finalizada avaliada;Não Resolvida;1
S;SC;Joinville;F;entre 41 a 50 anos;2025-01-23;6;Banco Santander Cartões (DESATIVADA ? Atual Banco Santander);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Petrópolis;M;entre 31 a 40 anos;2025-01-25;7;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada avaliada;Resolvida;2
S;SC;Joinville;F;entre 41 a 50 anos;2025-01-23;10;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamento de Imóveis;Dados Pessoais e Privacidade;Dificuldade de acesso a dados pessoais ou financeiros;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Paulo;M;entre 21 a 30 anos;2025-01-10;5;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada avaliada;Resolvida;5
SE;ES;Vitória;F;entre 41 a 50 anos;2025-01-05;10;Unimed Nacional (Central Nacional Unimed);Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Saúde e Segurança;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto;Telefone;S;S;Finalizada avaliada;Resolvida;2
N;RO;Rolim de Moura;F;entre 41 a 50 anos;2025-01-16;;Banco BV (antigo Banco Votorantim);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;
CO;GO;Aparecida de Goiânia;F;entre 21 a 30 anos;2025-01-09;9;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Catálogo;S;S;Finalizada avaliada;Resolvida;5
N;AM;Manaus;M;entre 41 a 50 anos;2025-01-20;10;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança após cancelamento do serviço;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
SE;MG;Cruzília;F;entre 21 a 30 anos;2025-01-17;10;Afinz (Sorocred);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Internet;S;S;Finalizada avaliada;Resolvida;1
SE;SP;Mogi das Cruzes;F;entre 31 a 40 anos;2025-01-23;6;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Não Resolvida;5
S;PR;Curitiba;M;entre 31 a 40 anos;2025-01-06;9;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Volta Redonda;M;entre 51 a 60 anos;2025-01-23;6;Amazon.com.br;Comércio Eletrônico;Alimentos;Bebidas;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;SP;São Caetano do Sul;F;entre 31 a 40 anos;2025-01-10;1;Latam Airlines (Tam);Transporte Aéreo;Transportes;Aéreo;Contrato / Oferta;Dificuldade / demora para cancelar o serviço;Internet;S;S;Finalizada avaliada;Resolvida;4
SE;RJ;Nova Iguaçu;M;entre 31 a 40 anos;2025-01-08;9;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Não comprei / contratei;N;S;Finalizada avaliada;Resolvida;5
NE;CE;Fortaleza;M;entre 31 a 40 anos;2025-01-01;10;Latam Pass;Programas de Fidelidade;Demais Serviços;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5
NE;CE;Fortaleza;F;entre 31 a 40 anos;2025-01-01;10;Latam Pass;Programas de Fidelidade;Demais Serviços;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;3
SE;RJ;Nova Iguaçu;F;entre 41 a 50 anos;2025-01-01;5;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Cobrança / Contestação;Negativação indevida (SPC, Serasa, SCPC etc);Domicílio;S;S;Finalizada avaliada;Não Resolvida;2
S;SC;Joinville;M;entre 41 a 50 anos;2025-01-11;10;Celesc;Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Cobrança por Irregularidade ou defeito na medição;Internet;S;S;Finalizada avaliada;Não Resolvida;3
SE;SP;Santa Bárbara D'Oeste;M;entre 41 a 50 anos;2025-01-31;2;Iugu;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Ferraz de Vasconcelos;M;entre 21 a 30 anos;2025-01-20;9;Bradesco Cartões;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;Dificuldade de contato / acesso a outros canais (exceto SAC);Internet;N;S;Finalizada avaliada;Não Resolvida;1
